SchoolName,address,latitude,longitude,postal_code
Telok Kurau Primary School,"50 Bedok Reservoir Rd, S479239",1.33124079696951,103.908009159069,479230
Temasek Primary School,"501 Bedok South Ave 3, S469300",1.32163299655185,103.938441289401,460036
Townsville Primary School,"3 Ang Mo Kio Ave 10, S569730",1.36705284380639,103.846987446489,560327
Unity Primary School,"21 Choa Chu Kang Crescent, S688268",1.38555516336432,103.745261508747,689688
Valour Primary School,"49 Punggol Central, S828728",1.40765603499317,103.903398837442,828726
Waterway Primary School,"70 Punggol Drive, S828802",1.40717643218,103.904437061575,828803
Wellington Primary School,"10 Wellington Circle, S757702",1.45997110235634,103.829047680713,757902
West Grove Primary School,"1 Jurong West St 72, S649223",1.34298940506671,103.691864154487,649041
West Spring Primary School,"60 Bukit Panjang Ring Road, S679946",1.37759742308947,103.772491526747,679947
West View Primary School,"31 Senja Road, S677742",1.38378546546228,103.760273432258,677742
Westwood Primary School,"1 Jurong West Street 73, S649188",1.33648744038913,103.695614521724,641988
White Sands Primary School,"2 Pasir Ris St 11, S519075",1.36563610941695,103.960861814678,519075
Woodgrove Primary School,"2 Woodlands Drive 14, S738079",1.44991489237317,103.803528532579,738074
Woodlands Primary School,"10 Woodlands Drive 50, S738853",1.43658270720199,103.791791282236,738853
Woodlands Ring Primary School,"11 Woodlands Ring Road, S738240",1.43485179380236,103.79741434351,738240
Xinghua Primary School,"45 Hougang Avenue 1, S538882",1.35914839009779,103.889236882098,538872
Xingnan Primary School,"5 Jurong West Street 91, S649036",1.34883617453427,103.695003812477,649076
Xinmin Primary School,"9 Hougang Avenue 8, S538784",1.35895845649082,103.889368040919,538874
Xishan Primary School,"8 Yishun Street 21, S768611",1.42020085631272,103.836152894984,760611
Yangzheng Primary School,"15 Serangoon Avenue 3, S556108",1.34949376423684,103.867654382557,556109
Yew Tee Primary School,"10 Choa Chu Kang St 64, S689100",1.39447144920635,103.744054352225,689284
Yio Chu Kang Primary School,"1 Hougang Street 51, S538720",1.35304421094299,103.87823462336,538750
Yishun Primary School,"500 Yishun Ring Road, S768679",1.43085395982568,103.829017365052,768677
Yu Neng Primary School,"56 Bedok North St 3, S469623",1.33168385606168,103.922360842039,469626
Yuhua Primary School,"158 Jurong East Street 24, S609558",1.34865823382569,103.731789499274,600372
Yumin Primary School,"3 Tampines Street 21, S529393",1.35582160253707,103.949866525154,529394
Zhangde Primary School,"51 Jalan Membina, S169485",1.31464091931406,103.708045405964,619485
Zhenghua Primary School,"9 Fajar Road, S679002",1.38333404683843,103.769408076179,679003
Zhonghua Primary School,"12 Serangoon Avenue 4, S556095",1.36563792510382,103.872690032111,555897
